Port Name,State,Port Code,Border,Date,Measure,Value,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Bus Passengers,7105,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Buses,770,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,502088,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Personal Vehicles,314509,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Rail Containers Empty,3402,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Rail Containers Full,7983,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Train Passengers,405,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Trains,144,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Truck Containers Empty,30365,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Truck Containers Full,91828,,,
Detroit,MI,3801,US-Canada Border,2/1/20 0:00,Trucks,124071,,,
Douglas,AZ,2601,US-Mexico Border,2/1/20 0:00,Bus Passengers,1100,,,
Douglas,AZ,2601,US-Mexico Border,2/1/20 0:00,Buses,210,,,
Douglas,AZ,2601,US-Mexico Border,2/1/20 0:00,Pedestrians,73203,,,
Douglas,AZ,2601,US-Mexico Border,2/1/20 0:00,Personal Vehicle Passengers,190627,,,
Douglas,AZ,2601,US-Mexico Border,2/1/20 0:00,Personal Vehicles,116495,,,
Douglas,AZ,2601,US-Mexico Border,2/1/20 0:00,Truck Containers Empty,952,,,
Douglas,AZ,2601,US-Mexico Border,2/1/20 0:00,Truck Containers Full,1349,,,
Douglas,AZ,2601,US-Mexico Border,2/1/20 0:00,Trucks,2287,,,
Dunseith,ND,3422,US-Canada Border,2/1/20 0:00,Bus Passengers,73,,,
Dunseith,ND,3422,US-Canada Border,2/1/20 0:00,Buses,3,,,
Dunseith,ND,3422,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,6201,,,
Dunseith,ND,3422,US-Canada Border,2/1/20 0:00,Personal Vehicles,2932,,,
Dunseith,ND,3422,US-Canada Border,2/1/20 0:00,Truck Containers Empty,341,,,
Dunseith,ND,3422,US-Canada Border,2/1/20 0:00,Truck Containers Full,1788,,,
Dunseith,ND,3422,US-Canada Border,2/1/20 0:00,Trucks,2077,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Bus Passengers,5360,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Buses,283,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Pedestrians,59572,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Personal Vehicle Passengers,461922,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Personal Vehicles,229709,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Rail Containers Empty,14380,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Rail Containers Full,12033,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Trains,265,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Truck Containers Empty,5075,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Truck Containers Full,9105,,,
Eagle Pass,TX,2303,US-Mexico Border,2/1/20 0:00,Trucks,14204,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Bus Passengers,230,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Buses,7,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Pedestrians,170,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,8042,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Personal Vehicles,3829,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Rail Containers Empty,496,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Rail Containers Full,9728,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Train Passengers,170,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Trains,85,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Truck Containers Empty,820,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Truck Containers Full,3848,,,
Eastport,ID,3302,US-Canada Border,2/1/20 0:00,Trucks,4487,,,
Eastport,ME,103,US-Canada Border,2/1/20 0:00,Pedestrians,2,,,
Eastport,ME,103,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,10590,,,
Eastport,ME,103,US-Canada Border,2/1/20 0:00,Personal Vehicles,7125,,,
